노선번호,유형,종류,운행업체,분리노선,노선아이디,기점,종점,정류장수
101,일반,간선,광남자동차㈜,파계사방면,3000101000,파계사,파계사,88
101,일반,간선,광남자동차㈜,덕곡방면,3000101001,파계사,파계사,98
101,일반,간선,광남자동차㈜,파계사방면(휴일),3000101002,파계사,파계사,88
101,일반,간선,광남자동차㈜,덕곡방면(휴일),3000101003,파계사,파계사,98
101,일반,간선,광남자동차㈜,덕곡방면(서촌로경유-상행),3000101004,파계사,파계사,95
101,일반,간선,광남자동차㈜,"덕곡방면(휴일,서촌로경유-상행)",3000101006,파계사,파계사,95
101,일반,간선,광남자동차㈜,덕곡방면(서촌로경유-하행),3000101007,파계사,파계사,94
101,일반,간선,광남자동차㈜,"덕곡방면(휴일,서촌로경유-하행)",3000101008,파계사,파계사,94
101,일반,간선,광남자동차㈜,파계사방면,3000101100,파계사,파계사,88
101,일반,간선,광남자동차㈜,덕곡방면,3000101101,파계사,파계사,98
101,일반,간선,광남자동차㈜,파계사방면(휴일),3000101102,파계사,파계사,88
101,일반,간선,광남자동차㈜,덕곡방면(휴일),3000101103,파계사,파계사,98
101,일반,간선,광남자동차㈜,덕곡방면(서촌로경유-상행),3000101104,파계사,파계사,95
101,일반,간선,광남자동차㈜,"덕곡방면(휴일,서촌로경유-상행)",3000101105,파계사,파계사,95
101,일반,간선,광남자동차㈜,덕곡방면(서촌로경유-하행),3000101108,파계사,파계사,94
101,일반,간선,광남자동차㈜,"덕곡방면(휴일,서촌로경유-하행)",3000101109,파계사,파계사,94
234,일반,간선,대일버스㈜,방면없음,3000234000,방천리(공영차고지),황금동,115
300,일반,간선,(주)달구벌버스,방면없음,3000300000,앞산공원,종합유통단지,76
306,일반,간선,(주)관음교통,방면없음,3000306000,종합유통단지,대곡동(공영차고지),132
309,일반,간선,삼천리버스㈜,방면없음,3000309000,북부정류장,영남대(조영동),110
323,일반,간선,경상버스㈜,방면없음,3000323100,종합유통단지,종합유통단지,84
349,일반,간선,삼천리버스㈜,방면없음,3000349000,시지지구,종합유통단지,120
403,일반,간선,(주)세진교통,방면없음,3000403000,사월보성아파트,조야동,115
405,일반,간선,(주)세왕교통,방면없음,3000405000,삼산리,방천리(공영차고지),176
410,일반,간선,신진자동차㈜,방면없음,3000410000,앞산공원,앞산공원,63
410,일반,간선,현대교통㈜,방면없음,3000410100,앞산공원,앞산공원,65
413,일반,간선,(주)세왕교통,방면없음,3000413000,대일리,종합유통단지,122
730,일반,간선,동명교통㈜,협성고방면,3000730000,동명면,대덕맨션,141
730,일반,간선,동명교통㈜,삼정골방면,3000730001,동명면,대덕맨션,141
730,일반,간선,우주교통㈜,방면없음,3000750000,앞산공원,관음동,123
805,일반,간선,경북교통㈜,방면없음,3000805000,웃는얼굴아트센터,반야월역,124
808,일반,간선,(주)신일여객,금호방면,3000808000,금호,구남보건고,149
808,일반,간선,(주)신일여객,대구대방면,3000808001,대구대,구남보건고,149
